name,appID,playTime,playTime2,logoURL,disabled,
Blender,365670,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/365670/5c4f9e482338e1ac7de6eb063d1a7dcf6df1e312.jpg,false,
Borderlands,8980,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/8980/88ec298ff1ff0d748df39e084892aed6e919b146.jpg,false,
Borderlands 2,49520,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/49520/86b0fa5ddb41b4dfff7df194a017f3418130d668.jpg,false,
Borderless Gaming,388080,765,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/388080/18ff9984bb7c33de334cd01332e0f189ccbe48b2.jpg,false,
Brütal Legend,225260,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/225260/cc8b60ac1fa649c950ff7a9881b98709b8372f94.jpg,false,
Braid,26800,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/26800/dc76bb847fbb82ca81e122927541398d41638ac8.jpg,false,
Broforce,274190,17,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/274190/c6728f33769caf6ea6b2a4421579d91fe3029eca.jpg,false,
Brothers - A Tale of Two Sons,225080,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/225080/12f5c3aaa2b1d69d0786e1d09e0b77e2da6f8980.jpg,false,
Bullshot,436530,22,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/436530/76b58aa8329ea5a499298f9891b0249037a1ac33.jpg,false,
Bully: Scholarship Edition,12200,17,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/12200/e2aad562be7e67c2477972fa738675e005cb73df.jpg,false,
Bunny & Piggy,549810,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/549810/fdb4e8a1a22db56d8666c926d9e29d7c5039a26c.jpg,false,
Burnout Paradise: The Ultimate Box,24740,226,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/24740/196d5d0945d6c608a621cf7d44429644ebeae267.jpg,false,
Bus-Simulator 2012,253770,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/253770/c2bf5d8b0fb45dd2998d8f0939bc26580f5b7350.jpg,false,
Calcu-Late,449200,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/449200/98798a0fb0df57185b9e35501c98f8a27732c443.jpg,false,
Call of Juarez Gunslinger,204450,46,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/204450/643f4290bce8f5bd18d24c8c1e85d4265767b3c9.jpg,false,
Castle Crashers,204360,27,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/204360/793216ec14c639bdaf2f0119c8cc408b8e9ad7b1.jpg,false,
Castlevania: Lords of Shadow - Ultimate Edition,234080,23,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/234080/3110df525bb5be2afcf92d50b11b31b2eb0f7f23.jpg,false,
Castlevania: Lords of Shadow 2,239250,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/239250/788026250ab01c40deabb1b257702cd0f1013758.jpg,false,
